Epoch	Loss_train	Loss_test
1	30.569239	23.926319
2	21.787340	13.060445
3	15.441550	8.818279
4	11.913350	7.145820
5	9.905758	6.374915
6	8.431729	5.628594
7	7.414464	4.713030
8	6.580054	4.350363
9	5.917904	4.253021
10	5.358939	3.821667
11	4.894938	3.547065
12	4.593996	3.361372
13	4.318012	3.440682
14	4.092549	3.140835
15	3.823833	3.367057
16	3.672769	2.945547
17	3.490554	3.004166
18	3.267280	2.611323
19	3.238449	2.834324
20	3.028590	2.766626
21	2.915810	2.926442
22	2.841129	2.758814
23	2.660184	2.844247
24	2.625887	2.631807
25	2.511692	2.681672
26	2.482675	2.485210
27	2.375044	2.496949
28	2.265751	2.543002
29	2.200598	2.715727
30	2.205859	2.564321
31	2.220987	2.483019
32	2.071525	2.371297
33	2.007520	2.639311
34	1.949089	2.364629
35	1.940597	2.692185
36	1.841891	2.692493
37	1.842458	2.499855
38	1.797131	2.467502
39	1.762347	2.790946
40	1.750498	2.316208
